day,sleep.qualityDuration,sleep.score,strain.averageHeartRate,strain.score,recovery.heartRateVariabilityRmssd,recovery.restingHeartRate,recovery.score,nap_duration,Nap,Journal,Coffee,Moda,Alcohol,Exercise,Breathing exercises,Meditation,Morning walk,Morning sun,Weighted blanket,MD,Energy Rating (1-5),Emotional Rating,Satisfaction/Fullfilment,Summary,Nap (prev day),Journal (prev day),Coffee (prev day),Moda (prev day),Alcohol (prev day),Exercise (prev day),Breathing exercises (prev day),Meditation (prev day),Morning walk (prev day),Morning sun (prev day),Weighted blanket (prev day),MD (prev day),Energy Rating (1-5) (prev day),Emotional Rating (prev day),Satisfaction/Fullfilment (prev day),Summary (prev day)
2020-07-03,421.2878333333333,85.0,64,15.7942395919835,0.0671883,43.0,84.0,0.0,0,0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,0,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-04,437.41066666666666,80.0,64,7.06749482570755,0.019612900000000003,46.0,19.0,0.0,0,0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,0.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-05,425.9561,81.0,75,12.910630914800999,0.0453999,41.0,55.0,0.0,0,0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-06,437.33148333333327,81.0,74,14.1388122908868,0.0705043,42.0,88.0,0.0,0,0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-07,480.98236666666674,88.0,64,8.37804253851433,0.0678249,46.0,81.0,0.0,0,0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-08,465.3403,92.0,60,4.4531276685220895,0.0565483,44.0,67.0,0.0,0,0,5.428571428571429,50.0,0.0,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-09,272.39936666666665,56.0,65,7.437818568152389,0.012653900000000001,43.0,10.0,0.0,0,0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,50.0,0.0,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-10,426.93563333333327,75.0,66,8.8838150226181,0.0498992,43.0,56.0,0.0,0,1,5.428571428571429,50.0,0.0,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-11,373.88393333333335,71.0,76,12.7600891489908,0.0643744,43.0,79.0,0.0,0,1,5.428571428571429,75.0,0.0,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,1.0,5.428571428571429,50.0,0.0,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-12,444.11745,81.0,61,8.7960765121491,0.0623629,43.0,77.0,0.0,0,0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,0,1,0,0,2.9,3.125,2.75,0.0,0.0,1.0,5.428571428571429,75.0,0.0,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-13,494.89038333333326,94.0,64,9.11033098741065,0.0730708,42.0,89.0,0.0,0,0,5.428571428571429,50.0,0.0,0.0,0.0,49.27272727272727,0,1,0,1,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,0.0,1.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-14,393.29426666666666,81.0,67,8.578894093773862,0.0513101,51.0,54.0,0.0,0,1,5.428571428571429,75.0,0.0,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,50.0,0.0,0.0,0.0,49.27272727272727,0.0,1.0,0.0,1.0,2.9,3.125,2.75,0.0
2020-07-15,469.1092833333333,89.0,61,4.97771772509067,0.04348869999999999,45.0,50.0,0.0,0,0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,0,1,0,0,2.9,3.125,2.75,0.0,0.0,1.0,5.428571428571429,75.0,0.0,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-16,474.4858,96.0,65,11.1752286816312,0.0568106,44.0,71.0,0.0,0,0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,0.0,1.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-17,411.19781666666665,84.0,60,5.651554616738269,0.0981395,44.0,94.0,0.0,0,0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-18,456.99875,89.0,66,7.7482759367058005,0.0602502,43.0,70.0,0.0,0,1,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
